id;name;description;max_borrowing_days;borowwing_day_rate;additional_info;author_id
1;pink even-keeled;bus Internal AI;77987;88777;bypassing Marketing;1
2;Dynamic Home Loan Account Tools;Branding;97366;506;Gloves;2
3;Buckinghamshire Ports;Devolved driver Networked;32539;17882;world-class program alarm;3
4;Nevada;Berkshire;63633;26520;Persevering;4
5;Coordinator Cambridgeshire Investor;cross-platform Borders;57690;66892;CSS Re-contextualized;5
6;local Shoes;Intelligent Frozen Sausages Villages;27956;91486;out-of-the-box Automotive Tactics;6
7;Venezuela Wisconsin;SDD disintermediate reinvent;85113;26847;Bedfordshire;7
8;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;35864;14008;Bedfordshire;8
9;portal calculating Metal;real-time discrete redundant;81011;25620;Personal Loan Account Sleek Beauty;9
10;digital deposit;extend Unbranded Fresh Pants Tools;57886;9398;North Dakota Garden;10
