id;loan_start_timestamp;declared_loan_end_timestamp;book_id;client_id
1;2019-11-15T21:07:53;2019-11-15T20:38:01;1;1
2;2019-11-15T19:18:08;2019-11-15T06:43:51;2;2
3;2019-11-15T05:10:36;2019-11-15T13:29:30;3;3
4;2019-11-15T19:51:37;2019-11-15T05:49:54;4;4
5;2019-11-15T13:54:48;2019-11-15T12:19:10;5;5
6;2019-11-15T01:17:31;2019-11-15T05:12:37;6;6
7;2019-11-15T21:00:37;2019-11-15T13:23:38;7;7
8;2019-11-15T02:01:18;2019-11-15T15:18:44;8;8
9;2019-11-15T14:48:16;2019-11-15T09:39:50;9;9
10;2019-11-15T18:43:58;2019-11-15T04:56:23;10;10
